Id;RentPerWeek;RentPerMonth;LandLord;Status;Furnishing;Type;NumberOfBedrooms;IsFeatured;IsActive;ReferenceNumber;ViewingArrangements;Description;DisplayFrom;AvailableFrom;Area;BuildingName;DoorNumber;Street;PostCode
270;525.00000;2275.00000;211;1;Fullly Furnished;1;3;0;0;;Contact managing agent;A three/four bedroom mews house situated in a secure gated development. The property offers a reception/dining room, fully fitted kitchen, four bedrooms, bathroom and guest WC. The property is conveniently located for all the transport and shopping amenities of Kilburn High road. Ideal for sharers. Offered furnished or unfurnished. Available Now  ;2010-02-19 00:00:00.000;2010-02-19 00:00:00.000;258;;3;Gladstone Mews;NW6 7XX
271;480.00000;2080.00000;211;2;Fullly Furnished;1;1;0;0;;Contact managing agent  ;A stunning luxury 1 double bedroom apartment situated on the 1st floor of an imposing period conversion in the heart of Hampstead village. The property is set behind gates and offers a bright reception/diner, fully fitted state of the art open plan kitchen, luxury bathroom and ample fitted storage. Furnished/Unfurnished Available 13th March;2010-02-19 00:00:00.000;2010-03-13 00:00:00.000;258;;Flat 4;Rosslyn Hill;NW3 1ND
278;720.00000;3120.00000;211;2;Furnished and Un-Furnished;126;2;0;1;;;A spacious two bedroom apartment set within this conveniently located garden square converted building. The apartment benefits from having a spacious reception, fitted kitchen, two double bedrooms and two bathrooms. Ideally placed for all the transport and shopping amenities of the West End. No Agency fees to pay!;2010-02-22 00:00:00.000;2010-02-22 00:00:00.000;284;;Flat 6;Dorset Square;NW1 
272;850.00000;3683.33333;211;2;Fullly Furnished;126;2;0;0;;;A studio apartment situated on the 3rd floor of a 5 story building. Very spacious studio providing an abundance of natural light, with a south/east facing private terrace. The property is in excellent condition, modern kitchen and bathroom, wooden flooring throughout. Other benefits include under-floor heating and 24hr security.;2010-02-19 00:00:00.000;2010-02-19 00:00:00.000;288;Portobello Lofts;Flat 11;Kensal Road;W10 5BZ
273;550.00000;2383.33333;211;1;Furnished and Un-Furnished;126;0;0;1;;;Standard studio apartments vary in size and layout but generally have a nice sized living/sleeping area with a double bed and sofa, modern open plan kitchenette and separate bathroom or shower room.  All inclusive rate from 91 nights+! ;2010-02-22 00:00:00.000;2010-02-22 00:00:00.000;240;Grand Plaza;42;Princes Square;W2
274;1200.00000;5200.00000;211;2;Furnished and Un-Furnished;126;3;0;1;;;Perfectly placed for exploring Hyde Park, Notting Hill and Kensington Palace and within a short walk of Whiteley’s shopping centre. This three bedroom apartment with en-suite bathroom,  open plan kitchenette is available fully furnished or unfurnished with high quality modern appliances. Prices vary depending on the duration of your stay and all prices quoted are for 61-90 day let.;2010-02-22 00:00:00.000;2010-02-22 00:00:00.000;289;Grand Plaza;42;Princes Square;W2
275;650.00000;2816.66667;211;2;Furnished and Un-Furnished;126;1;0;1;;;A typical 1 bedroom apartment has an open plan living area with kitchenette, double bedroom and bathroom (some with en-suite)  All inclusive rate from 91+ nights;2010-02-22 00:00:00.000;2010-02-22 00:00:00.000;289;Grand Plaza;42;Princes Square;W2
276;1000.00000;4333.33333;211;2;Furnished and Un-Furnished;1;2;0;1;;;A typical 2 bedroom apartment has an open plan living area with kitchenette, 2 double bedrooms and bathroom. Air Con, Broadband, CCTV, Digital TV, Available furnished or unfurnished, Gardens, Laundry Service, Lifts, Porter, Recycling, Shops;2010-02-22 00:00:00.000;2010-02-22 00:00:00.000;289;Grand Plaza;42;Princes Square;W2
277;550.00000;2383.33333;211;2;Furnished and Un-Furnished;126;0;0;1;;;Standard studio apartments vary in size and layout but generally have a nice sized living/sleeping area with a double bed and sofa, modern open plan kitchenette and separate bathroom or shower room.  All inclusive rate from 91 nights+! ;2010-02-22 00:00:00.000;2010-02-22 00:00:00.000;289;Grand Plaza;42;Princes Square;W2
279;340.00000;1473.33333;216;1;Fullly Furnished;126;2;0;0;;Contact Ms Yeboah to arrange a viewing.;We are happy to offer you this lovely 2 Bedroom flat with far reaching views from its Balcony on the Ninth floor. The property comprises of bright and spacious Reception with Balcony, Two Bedrooms, Bathroom, separate WC.The property is located close to transport links, shops and bars. Leasehold.Call our office on 020 7372 5950;2010-03-03 00:00:00.000;2010-03-03 00:00:00.000;258;;51;Kilburn Square;NW6 6PR
281;1600.00000;6933.33333;218;1;Furnished and Un-Furnished;1;5;0;1;;Keys in the office.;This delightful 4 Bedroom 2 Reception Room house situated in The Marlowes, St. Johns Wood, close to St Johns Wood and Swiss Cottage underground stations comes with  off the street parking for two cars,Integrated garage, fitted Kitchen. 2 bathroom, guest toilet on the groundfloor and a garden. Call Queens ParK Real Estates for viewing on 020 73725950. ;2010-03-03 00:00:00.000;2010-03-03 00:00:00.000;281;;6;The Marlowes;NW8 6NA
502;161.54000;700.00667;255;1;furnished;126;1;1;1;;Sean from mechanic got keys round the corner from the property.;Modern 1 bed flat in the New Cross Vicinity. The property is in the sought after location of New Cross, is furnished, offers an open plan living room and kitchen, wooden flooring, separate bathroom, close to all amenities, New Cross station is directly opposite the property. Professionals only.;2010-08-17 00:00:00.000;2010-09-02 00:00:00.000;308;;384c ;New Cross Road;SE14 6AG
414;214.00000;927.33333;282;2;;87;4;0;1;;;We are pleased to offer this 4 Bedroom detached house at Kafayat Abdulrasak Street, Lekki Phase. For more details please call our office on 020 7372 5950;2010-05-28 00:00:00.000;2010-05-28 00:00:00.000;240;;0;Abdulrasak Street;LAGOS
415;196.20000;850.20000;282;2;;87;4;0;1;;;We are pleased to offer this 4 Bedroom maisonette at Kafayat Abdulrasak Street, Lekki Phase 1. For more details please call our office on 020 7372 5950;2010-05-28 00:00:00.000;2010-05-28 00:00:00.000;296;;0;Kafayat Abdulrasak Street;LAGOS
381;92.31000;400.01000;282;2;;26;3;0;1;;;AMAZING OFFER! Available now are these four, three bedrooms flat off Ikorodu Road Apapa, Lagos. You could rent the whole block and its purpose is multifunctional. Viewing is highly recommended. Call us now on +442073725950;2010-05-14 00:00:00.000;2010-05-14 00:00:00.000;296;;0;Rhode Street,Ikorodu Road,  ;Lagos
382;196.16000;850.02667;282;2;;87;4;0;1;;;We are pleased to offer this 4 Bedroom maisonette at Kafayat Abdulrasak Street, Lekki Phase 1. For more details please call our office on 020 7372 5950;2010-05-14 00:00:00.000;2010-05-14 00:00:00.000;296;;0;Kafayat Abdulrasak Street, ;Lagos
353;392.31000;1700.01000;282;2;;87;5;0;1;;;35 Detached 5 Bedroom houses to let in a new development on Palace Road, Oniru Estate, Vitoria Island. Each house consists of 5 bedrooms with en-suite shower or bath, 2 Reception Rooms, fitted Kithchen, guest toilet on the ground floor. The Estate is secured 24 hours with one secured entrance and exit gate. Close to all amenities, seafront and within easy access of Lekki and Lagos mainland.     ;2010-04-30 00:00:00.000;2010-04-30 00:00:00.000;296;Oniru Estate;0;Palace Road, Victoria Island;Lagos so
354;253.85000;1100.01667;282;2;;26;3;0;1;;;We are pleased to offer this three bedroom flat in Ejigbo, lagos state,for letting on a long or short let. This property is fully furnished and a generator is available for short let. the property offers a three double bedrooms fitted kitchen and a three piece bathroom.;2010-04-30 00:00:00.000;2010-04-30 00:00:00.000;296;Silva Estate;0;Adewunmi Adeleye Street;Lagos
355;357.70000;1550.03333;282;2;;87;4;0;1;;; We are pleased to 4 bedroom duplex in Lekki phase. This property offers a reception room, large dinner, large fitted kitchen, storage room , security post and four large double bedrooms all ensuite;2010-04-30 00:00:00.000;2010-04-30 00:00:00.000;296;;1;Lekki Phase;Lagos
359;207.69230;899.99997;288;1;Unfurnished;126;2;0;1;;;Delightful and newly refurbished 2 bed flat in the Lewisham Vicinity.The property is unfurnished, offers wooden flooring, large bedroom. Lewisham Dlr and shopping centre is 10 mins from the property.;2010-05-06 00:00:00.000;2010-05-06 00:00:00.000;306;Eastdown Court;3;Eastdown Park;se13 5HU
399;260.00000;1126.66667;307;2;;126;1;0;0;;;Spacious 1 bedroom flat located close to transports and shopping facilities. All interior amenities have been modernized and benefits include a garden. Call 02073725950 to arrange viewing. Available for ?500.00pw  for shortlet;2010-05-19 00:00:00.000;2010-05-19 00:00:00.000;258;;48;Glengall Road;NW6 7EP
400;140.00000;606.66667;308;2;;97;0;0;0;;;Double room available in a very nice house. Shared kitchen and Bathroom. Close to Queens Park tube station. Bills included. Available now;2010-05-19 00:00:00.000;2010-05-19 00:00:00.000;262;;37A;Donaldson Roads;NWQ6 6NE
427;461.53846;1999.99999;349;3;furnished;1;4;1;1;;;Fantastic and modern spacious 4 double bedroom house in the conservation area in West Dulwich Vicinity. The property offers an en suite bathroomin master bedroom, separate shower room, separate toilet, fully fitted kitchen, kitchen diner, large lounge, walk in cellar, close to all amenities, transport and good schools. Will suit professionals or family....Must be seen;2010-06-14 00:00:00.000;2010-06-14 00:00:00.000;321;;84;lancaster Avenue;se27 9ed
446;188.07000;814.97000;353;1;Furnished;126;1;0;1;;;Newly refurbished and Large 1 bed flat in the Brixton vicinity. The property is on the famous Atlantic road, it offers a large reception, double size bedroom, dark wooden flooring, fully fitted kitchen, close to all amenities, shops, pubs, cafes, only 1 minute from Brixton tube station and 10 minutes to Central london    Professionals only   No DSS;2010-06-16 00:00:00.000;2010-06-16 00:00:00.000;320;;75;Atlantic road;SW9 8PU
462;155.76923;675.00000;368;1;fully furnished;1;0;1;1;;got keys;Studio flat  in the New Cross Vicinity off the famous Myers lane. The property is located in a quiet residential area,  fully furnished, has a separate bedroom, bathroom and kitchen, fully fitted kitchen and parking. New Cross Station and South Bermondsey station are within walking distance from the property. Dss with own deposit and rent in advance considered.;2010-06-19 00:00:00.000;2010-06-19 00:00:00.000;308;;27;Bridge Meadows;SE14 5SU
464;184.61500;799.99833;370;2;furnished / Unfurnished;126;2;0;0;;;Spacious 2 bed flat in the Thamesmead within the Royal Arsenal vicinity. It offers a fully fitted kitchen, is fully carpeted, gas central heating, double size bedroom, power shower,balcony and  security entry and available parking. Woolwich DLR station is only 15 minutes walk from the property.;2010-07-31 00:00:00.000;2010-07-31 00:00:00.000;335;;117;erebus drive;se28 0gb
18;127.00000;550.33333;34;1;not specified       ;97;2;0;0;          ;Call landlord;Two large double rooms available in a house, share kitchen and two bathroom. Situated next to Gladstone Park. Suitable for single professional. Available now. Bills included in rent;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;251;;0;Oman Avenue;NW2 6AX   
19;160.00000;693.33330;35;;not specified       ;70;0;0;0;          ;Keys in Office;New on the market, first floor studio flat located in the sought after area of Brondesbury villas, just five minutes away from Queen Park tube station. Close to local amenities. (bills are inclusive) (Couples ?200pw - 866.66pcm;2009-09-07 15:33:42.000;2009-09-07 15:33:42.000;258;;136;Brondesbury Villas;NW6       
20;80.00000;346.66667;36;2;not specified       ;97;1;1;0;          ;Call Mrs Ola;Spacious bedsit with own cooking facilities, share bathroom. Situated close to Queens Park Station, pubs, cafes and shopping facilities. Suitable for females only;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;262;;123;Priory Park Road;NW6 7UL   
21;300.00000;1300.00000;37;;not specified       ;126;2;0;0;          ;;New on the market spacious 2 bedroom ground floor flat located close to Queens Park Station. The property is newly refurbished and consists of 2 double bedrooms, separate reception, fully fitted kitchen and bathroom. Available from the beginning of March ;2009-09-07 15:33:43.000;2009-09-07 15:33:43.000;258;;35;Peel Precinct;Nw6 5ry   
22;350.00000;1516.66670;39;;not specified       ;126;2;0;0;          ;;2 bedroom apartment with fully fitted kitchen, family bathroom, en-suite shower room and WC. Furnished to the high standard this remarkable apartment has accesses to an elevator, uses a key fob entry system and features secure underground parking. This dev;2009-09-07 15:33:43.000;2009-09-07 15:33:43.000;270;;11;Amiot House, Heritage Avenue;NW9  5TQ  
23;180.00000;780.00000;41;;not specified       ;126;1;0;0;          ;Keys in Office;2nd floor 1 double bedroom flat, the property is situated in a convenient location, close to all local amenities. A minute to willesden Green Library, Willesden Green Station on Jubilee line is a walking distance. Off Street Parking for 1 car.   (Short let;2009-09-07 15:33:43.000;2009-09-07 15:33:43.000;240;;179;Brondesbury Park;NW2 5JN   
24;200.00000;866.66670;42;;not specified       ;70;1;0;0;          ;Keys in Office - Call tenant;We are happy to offer you this spacious and well presented studio flat located just minutes from Warwick Avenue Tube Station. The property has high ceilings, wooden floor and offers separate kitchen, bathroom and bedroom area located above reception. It ha;2009-09-07 15:33:43.000;2009-09-07 15:33:43.000;240;;39B;Warwick Aven;W9 2PR    
25;290.00000;1256.66670;43;;not specified       ;126;1;0;0;          ;;  ew on the market spacious 1 bedroom top floor flat  located close to trendy streets of Queens Park and Maida Vale. The property is newly refurbished and consists of 1 double bedrooms, separate reception, fully fitted kitchen and bathroom. It benefits fro;2009-09-07 15:33:43.000;2009-09-07 15:33:43.000;259;;9;Malvern Road;NW6 5PS   
26;320.00000;1386.66670;44;;not specified       ;126;2;0;0;          ;Call Vendor;We are happy to offer this lovely flat sets on the 1st floor in the detached house located close to Willesden Green Station. The property offers spacious accommodation and consists of large reception, 2 good sized double bedrooms, fully fitted kitchen and ;2009-09-07 15:33:44.000;2009-09-07 15:33:44.000;258;;70a;Chatsworth Road;NW2 4DG   
27;499.00000;2162.33330;45;;not specified       ;1;2;0;0;          ;;A beautiful modern 2 bedroom flat, located close to transport, shops and trendy bars and cafe's. This flat is decorated and furnished to high standards.The property benefits from one double and one single bedroom with balcony, bathroom ,1 shower room en-su;2009-09-07 15:33:44.000;2009-09-07 15:33:44.000;240;;0;William Road  ; NW1 3ER  
28;120.00000;520.00000;45;;not specified       ;97;6;0;0;          ; key in office ;HOUSE SHARE. 4 good size bedsits in this 5 bedroom house  located in Queens Park. Each room has a wash basin, fitted wardrobe, newly fitted carpet. 2 bathrooms, separate toilet, large kitchen with dining table and a garden to share.;2009-09-07 15:33:44.000;2009-09-07 15:33:44.000;262;;119;Victoria Road;NW6 6TD   
29;280.00000;1213.33330;45;;not specified       ;1;2;0;0;          ;kEYS In Office;We are happy to offer you this newly refurbished 2nd floor 2 bedroom flat located just minutes from Queens Park Station. The property offers 2 double bedrooms, fully fitted kitchen, reception and bathroom. Available now;2009-09-07 15:33:44.000;2009-09-07 15:33:44.000;240;;77;Brondesbury Villas;NW6 6AG   
30;350.00000;1516.66670;45;;not specified       ;1;2;0;0;          ;Keys in Office;New on the market 2 bedroom garden flat.The property offers 2 double bedrooms, fitted kitchen, reception, bathroom.The property is located close to the Queens Park and just minutes from Queens Park Station and local bars and shop. Available from 10th May;2009-09-07 15:33:44.000;2009-09-07 15:33:44.000;240;;102;Harvist Road;NW6 6HL   
31;230.00000;996.66667;45;1;Furnished;71;1;1;0;          ;kEYS IN OFFICE;This well presented modern 1 bedroom flat located in Canterbury Road, offer a good sized double bedroom, fully fitted kitchen, large reception and a contemporary bathroom. The property is located just ten minutes away from Queens Park tube station on the B;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;258;;111A;Canterbury Road;NW6 5SR   
32;350.00000;1516.66670;45;;not specified       ;87;3;0;0;          ;;New on the market 3 bedroom house. The property offers 2 double and 1 single bedroom, 2 receptions(one can be used as the 4th bedroom), fitted kitchen, bathroom and back garden. Available now;2009-09-07 15:33:44.000;2009-09-07 15:33:44.000;261;;119;Warren Road;NW2 7NH   
225;120.00000;520.00000;45;3;Furnished;35;0;0;0;;;A double room in a flat for a single person, share bath, toilet and kitchen with two others available now. ?120 per week all bills inclusive.;2009-11-14 00:00:00.000;2009-11-14 00:00:00.000;263;;0;Gondar Gardens;NW6 1EP
232;265.00000;1148.33333;45;2;unfurnished;26;1;0;0;;call Daniel;QPRE is pleased to offer this brand new, first floor one bedroom flat for rental. The property offers a one double bedroom, three piece bathroom and toilet gas central heating, allocated parking space for cars and bicycles and  property is literally 30sec walk to Kilburn high road. Available now;2009-12-03 00:00:00.000;2009-12-03 00:00:00.000;258;Kyle House;6;Priory Park Road;NW6 7GZ
233;325.00000;1408.33333;45;2;Furnished;58;3;0;0;;;The Property is a three Bed semi detached house with off street parking for two cars and a large rear garden, The property boasts of separate lounge and dinning and an additional kitchen diner, Upstairs features three double bedrooms with separate bathroom and toilet. Situated on Millway it is 2 mins away from Mill Hill Broadway and it Thameslink station, offering high speed links into Farringdon and kings Cross. ;2009-12-03 00:00:00.000;2009-12-03 00:00:00.000;258;;11;Millway, Mill Hill; NW7 7QR
285;450.00000;1950.00000;45;1;Furnished;69;2;0;1;;;We are pleased to offer this two bedroom flat.  This flat comprises of 1 single and a double bedroom, fitted kitchen three piece bathroom, seperate reception. available for short let;2010-04-09 00:00:00.000;2010-04-26 00:00:00.000;334;;60;Downings ;E6
75;280.00000;1213.33330;45;;not specified       ;126;3;0;0;          ;KEY IN OFFICE;Set on the first floor a beautiful, very light 2 bedroom flat in Queens Park area. Property is newly refurbished and consists of  two double bedrooms, open-plan kitchen and bathroom. ;2009-09-07 15:33:51.000;2009-09-07 15:33:51.000;258;;112;Glengall Road;NW6       
76;210.00000;910.00000;45;1;Furnished           ;126;2;0;0;          ;keys in the office;We are pleased to offer you a two bedroom flat on the first floor in an Ex-council block of flats. This property offers a two double bedroom, separate kitchen, three-piece bathroom and a good size lounge. Viewing is highly recommended;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;270;;3;Montrose Court;NW9 5BS   
77;300.00000;1300.00000;45;;not specified       ;126;2;0;0;          ;KEY IN OFFICE;QPRE is pleased to offer this two bedroom top floor flat. this property offers a two double bedroom, open plan kitchen lounge, three piece bathroom an outside space in form of a roof Terrence, directly opposite the park and two minutes walk to Queens Park ;2009-09-07 15:33:51.000;2009-09-07 15:33:51.000;262;;51;Harvist Road;NW6       
78;300.00000;1300.00000;45;;not specified       ;126;2;0;0;          ;KEY IN OFFICE;QPRE is please to offer this stunning, two bedroom flat on Brondesbury Park. This property has being done to very high standards and offers two double bedrooms, spacious living and dinning area, a balcony, modernized three-piece bathroom, fitted kitchen an;2009-09-07 15:33:51.000;2009-09-07 15:33:51.000;250;The Oak;4;Brondesbury Park;NW6       
79;220.00000;953.33333;45;1;Furnished           ;126;2;0;0;          ;call tenants;A two bedroom flat available from 3rd. of October 2009. The property is newly refurbished with new double glazed windows and close to all amenities on Cricklewood Broadway. Shared terrace area. About ten minutes to Kilburn tube Station and eight minutes to;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;251;;54B;Cricklewood Broadway;NW2 3ET   
80;250.00000;1083.33333;45;2;not specified       ;126;1;1;1;          ;;We are happy to present you this stunning apartment set on the second floor in The Amelia Apartments at Beaufort Park. The property offers large living room with terrace, double bedroom, fully fitted kitchen and a bathroom. Use of well equipped gym and all;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;270;Amelia Apartments,;21;Aerodrome Road;NW9 5JP   
69;350.00000;1516.66670;45;;not specified       ;90;1;0;0;          ;Call tenants on 07903143395;QPRE is pleased offer this stunning,modernized one bedroom penthouse. This penthouse is done up to very high standards. it boasts of a roof Terrence, open-plan kitchen lounge, one double sized room, three piece toilet and bathroom. Viewing is highly recomm;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;265;;14;10 wellington road;NW10 5B   
70;350.00000;1516.66670;45;;not specified       ;72;3;0;0;          ;call tenants on 07974827897, 07958046218;New on the market 1st floor 3 Bedroom Maisonette located close to Kensal Rise and Kensal Green Station. The property offers 3 Double Bedrooms, Reception, Bathroom, Fully fitted Kitchenand Laminated wood flooring throughout. Off Street Parking available. Ca;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;254;;70A;Herbert Gardens ;NW10      
71;450.00000;1950.00000;45;1;Furnished           ;3;4;1;0;          ;KEY IN OFFICE;QPRE is pleased to offer this four-bedroom house. This property boasts of a 4 double bedroom, 2 reception rooms, 1 en-suite toilet and bathroom, toilet and bathroom, separate toilet, garage, fitted kitchen and garden. Viewing is highly recommended;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;254;;64;Salmon Street;NW9 8PU   
72;260.00000;1126.66670;45;;not specified       ;69;3;0;0;          ;;QPRE is pleased to offer this three bedroom ground floor flat. This property offers a two double bedrooms, one single room, good size lounge, three piece bathroom, fitted kitchen and a garden. This property is about five minutes walk to Colindale station a;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;270;;45;Colindale Avenue;NW9 5EP   
73;255.00000;1105.00000;45;;not specified       ;126;2;0;0;          ;KEY IN OFFICE;2 Bedroom Purpose Built Flat Set in a New Development, Modern Separate Kitchen d Bathroom, Allocated Parking space, close to Shops and Transport  ;2009-09-07 15:33:51.000;2009-09-07 15:33:51.000;253;;3;Barrett Court;NW10      
74;310.00000;1343.33330;45;;not specified       ;126;2;0;0;          ;Keys in  the office;We are pleased to offer this three-bedroom first floor flat in an Ex- council building. This flat offers a three double bedrooms, three piece bathroom and fitted kitchen. This property is about five- minutes walk from Queens Park and Kilburn Tube station;2009-09-07 15:33:51.000;2009-09-07 15:33:51.000;258;Wordsworth House;8;Stafford Road;NW6 5YT   
63;400.00000;1733.33330;45;;not specified       ;3;4;0;0;          ;;We are happy to offer this 3 bedroom Semi-detached house located in Wembley. The property offers 2 Receptions, 3 Bedrooms, Self contained Studio flat on Ground floor, 2 Bathrooms, 2 Kitchens, Garden and Off Street Parking for 2 cars.;2009-09-07 15:33:49.000;2009-09-07 15:33:49.000;272;;37;Uxendon Hill;HA9 9RX   
64;400.00000;1733.33330;45;;not specified       ;83;3;0;0;          ;;We are pleased to market this three bedroom town house. the property offers three double bedrooms split over three floors,  two reception rooms (one room could be converted into the fourth room), 1 en-suite shower room, a shower room, a three piece bathroo;2009-09-07 15:33:49.000;2009-09-07 15:33:49.000;251;;14;Compton close;NW11 8SX  
65;650.00000;2816.66667;45;1;not specified       ;87;4;1;0;          ;;We are happy to offer this lovely, four bedrooms and two Reception Detached house. The property consists of four Bedrooms, two Receptions, two Bathrooms (one En-suite) and a Shower cubicle in Loft conversion, Kitchen, Laundry room and Cloakroom.  ;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;272;;14;The paddock;HA9 9HH   
66;100.00000;433.33330;45;;not specified       ;35;1;0;0;          ;;We are pleased to offer this two bedroom flat as flat share. This property offers a double bedroom, large lounge( which would be a third bedroom),3-piece bathroom, separate toilet and good size kitchen.Five minute walk from Queen Park Tube Station,Sharers ;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;262;;119;Harvist road;nw66ha    
67;140.00000;606.66670;45;;not specified       ;26;2;0;0;          ;;We offer this two bedroom apartment on the first floor of as a flat sharebetween. A quiet residential road, just off the Kilburn High Road. It is near the well known Tricycle Theatre, local bars, restaurants, shops and close to transport links. The propert;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;258;;14b;buckley road;nw6 7na   
68;150.00000;650.00000;45;;not specified       ;35;0;0;0;          ;;We are pleased to offer this two bedroom flat as flat share. This property offers a double bedroom, large lounge( which would be a third bedroom),3-piece bathroom, separate toilet and good size kitchen.Five minute walk from Queen Park Tube Station,Sharers ;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;262;;119;Harvist road;nw66ha    
57;230.00000;996.66670;45;;not specified       ;26;1;0;0;          ;;A large 1 bedroom flat on second floor over looking Queens Park, Large kitchen/diner, Large double bedroom, Large Living room. The Queens Park Station is within a short walking distance and Kilburn High Road is about 10 minutes walking distance from the pr;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;262;;95;Harvist Road;NW6 6HA   
